"OTUname","ProbOccupancy"
"DUP_290608",0.129035698763714
"DUP_60692",0.997208785554886
"DUP_328398",0.119902071356117
"DUP_108539",0.877490097343422
"DUP_454174",0.754614069589107
"DUP_98391",0.996309673209065
"DUP_3705",0.999980175660141
"DUP_449194",0.128864641698426
"DUP_205528",0.120185915152612
"DUP_227461",0.792111974133004
"DUP_60645",0.999979338455814
"DUP_295621",0.799811341796726
"DUP_3306",0.999997475005673
"DUP_110745",0.999992147273296
"DUP_294330",0.773963776233666
"DUP_7",0.999998520719933
"DUP_562487",0.126200600360259
"DUP_274668",0.777661709158077
"DUP_99464",0.999992613265675
"DUP_106809",0.996909220570742
"DUP_119469",0.119902071356117
"DUP_2631",0.999993128608127
"DUP_281540",0.131402585481872
"DUP_228145",0.999992750371158
"DUP_129353",0.996219912087844
"DUP_130372",0.126641551287001
"DUP_294698",0.755066115211137
"DUP_506428",0.785012103925739
"DUP_286282",0.77702727027672
"DUP_311835",0.785516414642389
"DUP_389718",0.121219061736062
"DUP_230134",0.731808538879967
"DUP_412844",0.133697816636367
"DUP_45",0.999996224783952
"DUP_420797",0.126641551287001
"DUP_185501",0.999991548438446
"DUP_302669",0.119902071356117
"DUP_551262",0.119902071356117
"DUP_296135",0.781673301586962
"DUP_522189",0.116805020783814
"DUP_141771",0.997128286251403
"DUP_146622",0.786880565974353
"DUP_543963",0.999992435592883
"DUP_3713",0.99998930826221
"DUP_226479",0.144199508308239
"DUP_349911",0.144472868734766
"DUP_559239",0.125093874633593
"DUP_227609",0.781168202445801
"DUP_451422",0.124108684310846
"DUP_196437",0.143047437772457
"DUP_49143",0.999992460914057
"DUP_351240",0.154022336675975
"DUP_161400",0.730147219759398
"DUP_24083",0.999993214821205
"DUP_273558",0.997300727199269
"DUP_333455",0.128153190731797
"DUP_175915",0.997142561813383
"DUP_165627",0.994657625035752
"DUP_522209",0.800196338079646
"DUP_120782",0.779902164506201
"DUP_104103",0.999992073396636
"DUP_327989",0.138666949435012
"DUP_27773",0.999998555099708
"DUP_39105",0.999998084779647
"DUP_488197",0.781673301586962
"DUP_315707",0.997071465601874
"DUP_108560",0.999982498032671
"DUP_210736",0.800196338079646
"DUP_286507",0.997197368168781
"DUP_15989",0.999992435592883
"DUP_384698",0.125768935853056
"DUP_403270",0.796202273401831
"DUP_429859",0.77702727027672
"DUP_280492",0.775432769994963
"DUP_525253",0.788827839554482
"DUP_208373",0.126641551287001
"DUP_103474",0.997274048898677
"DUP_166358",0.997171716452521
"DUP_139865",0.997079566583408
"DUP_29340",0.999993236291436
"DUP_16",0.999946436416422
"DUP_279152",0.121219061736062
"DUP_14",0.999994736293106
"DUP_6749",0.99999954576041
"DUP_1017",0.99999378861181
"DUP_362800",0.128529706685697
"DUP_557123",0.124267016148771
"DUP_238209",0.78233005523862
"DUP_551358",0.786534411983058
"DUP_117281",0.999408251759139
"DUP_408659",0.799811341796726
"DUP_184222",0.996398824939708
"DUP_52842",0.999993023875795
"DUP_173318",0.141551002709055
"DUP_62401",0.999993196842681
"DUP_1184",0.125211829311371
"DUP_7443",0.113572114218039
"DUP_232574",0.752360355170686
"DUP_294329",0.755066115211137
"DUP_10",0.999999751736368
