"","DUP_1","DUP_2","DUP_3","DUP_4","DUP_7","DUP_8","DUP_9","DUP_10","DUP_11","DUP_12"
"lib_C_tag_ACTCTG",78654,28361,88,396603,1,40,18143,2438,1,0
"lib_F_tag_TCGTCA",57386,20360,71,318046,0,7,13369,1762,0,0
"lib_G_tag_ATATCG",48708,14666,61,211016,2,0,10975,1396,0,0
"lib_H_tag_CACGAT",94482,28548,106,461559,2,0,21126,2487,27,0
"lib_A_tag_ACTCTG",7267,34790,24,75,11,15,1897,100,2,335923
"lib_E_tag_TACGTG",4894,23524,29,0,0,0,1257,71,1,265764
"lib_F_tag_GCGCTC",4815,27585,0,1,3,0,1290,76,0,210398
"lib_G_tag_CTCGCA",3098,17264,6,0,4,0,843,50,0,164839
"lib_D_tag_ACATGT",30098,3,0,0,1,0,5493,26,0,0
"lib_F_tag_ATATCG",66334,6,3,0,2,0,11603,117,0,0
"lib_F_tag_ATGTGC",53059,3,3,0,3,0,9445,106,0,0
"lib_J_tag_ATGCAG",65389,2,0,0,3,4,11536,124,1,0
