"","lib_A_tag_ACACAC","lib_A_tag_ACAGCA","lib_A_tag_ACATGT","lib_A_tag_ACGACG","lib_A_tag_ACTAGC","lib_A_tag_ACTCTG","lib_A_tag_ACTGAT","lib_A_tag_AGAGAG","lib_A_tag_ATATCG","lib_A_tag_ATCAGT","lib_A_tag_ATGATA","lib_A_tag_ATGCAG","lib_A_tag_ATGTGC","lib_A_tag_CACGAT","lib_A_tag_CGACGC","lib_A_tag_CTCGCA","lib_A_tag_CTGCGT","lib_A_tag_GATGAC","lib_A_tag_GCAGTG","lib_A_tag_GCGAGT","lib_A_tag_GCGCTC","lib_A_tag_GCGTAG","lib_A_tag_GCTACA","lib_A_tag_GTCTCT","lib_A_tag_TACGTG","lib_A_tag_TAGATC","lib_A_tag_TCGCAT","lib_A_tag_TCGTCA","lib_A_tag_TCTGCG","lib_A_tag_TGTATG","lib_B_tag_ACACAC","lib_B_tag_ACAGCA","lib_B_tag_ACATGT","lib_B_tag_ACGACG","lib_B_tag_ACTAGC","lib_B_tag_ACTCTG","lib_B_tag_ACTGAT","lib_B_tag_AGAGAG","lib_B_tag_ATATCG","lib_B_tag_ATCAGT","lib_B_tag_ATGATA","lib_B_tag_ATGCAG","lib_B_tag_ATGTGC","lib_B_tag_CACGAT","lib_B_tag_CGACGC","lib_B_tag_CTCGCA","lib_B_tag_CTGCGT","lib_B_tag_GATGAC","lib_B_tag_GCAGTG","lib_B_tag_GCGAGT","lib_B_tag_GCGCTC","lib_B_tag_GCGTAG","lib_B_tag_GCTACA","lib_B_tag_GTCTCT","lib_B_tag_TACGTG","lib_B_tag_TAGATC","lib_B_tag_TCGCAT","lib_B_tag_TCGTCA","lib_B_tag_TCTGCG","lib_B_tag_TGTATG","lib_C_tag_ACACAC","lib_C_tag_ACAGCA","lib_C_tag_ACATGT","lib_C_tag_ACGACG","lib_C_tag_ACTAGC","lib_C_tag_ACTCTG","lib_C_tag_ACTGAT","lib_C_tag_AGAGAG","lib_C_tag_ATATCG","lib_C_tag_ATCAGT","lib_C_tag_ATGATA","lib_C_tag_ATGCAG","lib_C_tag_ATGTGC","lib_C_tag_CACGAT","lib_C_tag_CGACGC","lib_C_tag_CTCGCA","lib_C_tag_CTGCGT","lib_C_tag_GATGAC","lib_C_tag_GCAGTG","lib_C_tag_GCGAGT","lib_C_tag_GCGCTC","lib_C_tag_GCGTAG","lib_C_tag_GCTACA","lib_C_tag_GTCTCT","lib_C_tag_TACGTG","lib_C_tag_TAGATC","lib_C_tag_TCGCAT","lib_C_tag_TCGTCA","lib_C_tag_TCTGCG","lib_C_tag_TGTATG","lib_D_tag_ACACAC","lib_D_tag_ACAGCA","lib_D_tag_ACATGT","lib_D_tag_ACGACG","lib_D_tag_ACTAGC","lib_D_tag_ACTCTG","lib_D_tag_ACTGAT","lib_D_tag_AGAGAG","lib_D_tag_ATATCG","lib_D_tag_ATCAGT","lib_D_tag_ATGATA","lib_D_tag_ATGCAG","lib_D_tag_ATGTGC","lib_D_tag_CACGAT","lib_D_tag_CGACGC","lib_D_tag_CTCGCA","lib_D_tag_CTGCGT","lib_D_tag_GATGAC","lib_D_tag_GCAGTG","lib_D_tag_GCGAGT","lib_D_tag_GCGCTC","lib_D_tag_GCGTAG","lib_D_tag_GCTACA","lib_D_tag_GTCTCT","lib_D_tag_TACGTG","lib_D_tag_TAGATC","lib_D_tag_TCGCAT","lib_D_tag_TCGTCA","lib_D_tag_TCTGCG","lib_D_tag_TGTATG","lib_E_tag_ACACAC","lib_E_tag_ACAGCA","lib_E_tag_ACATGT","lib_E_tag_ACGACG","lib_E_tag_ACTAGC","lib_E_tag_ACTCTG","lib_E_tag_ACTGAT","lib_E_tag_AGAGAG","lib_E_tag_ATATCG","lib_E_tag_ATCAGT","lib_E_tag_ATGATA","lib_E_tag_ATGCAG","lib_E_tag_ATGTGC","lib_E_tag_CACGAT","lib_E_tag_CGACGC","lib_E_tag_CTCGCA","lib_E_tag_CTGCGT","lib_E_tag_GATGAC","lib_E_tag_GCAGTG","lib_E_tag_GCGAGT","lib_E_tag_GCGCTC","lib_E_tag_GCGTAG","lib_E_tag_GCTACA","lib_E_tag_GTCTCT","lib_E_tag_TACGTG","lib_E_tag_TAGATC","lib_E_tag_TCGCAT","lib_E_tag_TCGTCA","lib_E_tag_TCTGCG","lib_E_tag_TGTATG","lib_F_tag_ACACAC","lib_F_tag_ACAGCA","lib_F_tag_ACATGT","lib_F_tag_ACGACG","lib_F_tag_ACTAGC","lib_F_tag_ACTCTG","lib_F_tag_ACTGAT","lib_F_tag_AGAGAG","lib_F_tag_ATATCG","lib_F_tag_ATCAGT","lib_F_tag_ATGATA","lib_F_tag_ATGCAG","lib_F_tag_ATGTGC","lib_F_tag_CACGAT","lib_F_tag_CGACGC","lib_F_tag_CTCGCA","lib_F_tag_CTGCGT","lib_F_tag_GATGAC","lib_F_tag_GCAGTG","lib_F_tag_GCGAGT","lib_F_tag_GCGCTC","lib_F_tag_GCGTAG","lib_F_tag_GCTACA","lib_F_tag_GTCTCT","lib_F_tag_TACGTG","lib_F_tag_TAGATC","lib_F_tag_TCGCAT","lib_F_tag_TCGTCA","lib_F_tag_TCTGCG","lib_F_tag_TGTATG","lib_G_tag_ACACAC","lib_G_tag_ACAGCA","lib_G_tag_ACATGT","lib_G_tag_ACGACG","lib_G_tag_ACTAGC","lib_G_tag_ACTCTG","lib_G_tag_ACTGAT","lib_G_tag_AGAGAG","lib_G_tag_ATATCG","lib_G_tag_ATCAGT","lib_G_tag_ATGATA","lib_G_tag_ATGCAG","lib_G_tag_ATGTGC","lib_G_tag_CACGAT","lib_G_tag_CGACGC","lib_G_tag_CTCGCA","lib_G_tag_CTGCGT","lib_G_tag_GATGAC","lib_G_tag_GCAGTG","lib_G_tag_GCGAGT","lib_G_tag_GCGCTC","lib_G_tag_GCGTAG","lib_G_tag_GCTACA","lib_G_tag_GTCTCT","lib_G_tag_TACGTG","lib_G_tag_TAGATC","lib_G_tag_TCGCAT","lib_G_tag_TCGTCA","lib_G_tag_TCTGCG","lib_G_tag_TGTATG","lib_H_tag_ACACAC","lib_H_tag_ACAGCA","lib_H_tag_ACATGT","lib_H_tag_ACGACG","lib_H_tag_ACTAGC","lib_H_tag_ACTCTG","lib_H_tag_ACTGAT","lib_H_tag_AGAGAG","lib_H_tag_ATATCG","lib_H_tag_ATCAGT","lib_H_tag_ATGATA","lib_H_tag_ATGCAG","lib_H_tag_ATGTGC","lib_H_tag_CACGAT","lib_H_tag_CGACGC","lib_H_tag_CTCGCA","lib_H_tag_CTGCGT","lib_H_tag_GATGAC","lib_H_tag_GCAGTG","lib_H_tag_GCGAGT","lib_H_tag_GCGCTC","lib_H_tag_GCGTAG","lib_H_tag_GCTACA","lib_H_tag_GTCTCT","lib_H_tag_TACGTG","lib_H_tag_TAGATC","lib_H_tag_TCGCAT","lib_H_tag_TCGTCA","lib_H_tag_TCTGCG","lib_H_tag_TGTATG","lib_J_tag_ACACAC","lib_J_tag_ACAGCA","lib_J_tag_ACATGT","lib_J_tag_ACGACG","lib_J_tag_ACTAGC","lib_J_tag_ACTCTG","lib_J_tag_ACTGAT","lib_J_tag_AGAGAG","lib_J_tag_ATATCG","lib_J_tag_ATCAGT","lib_J_tag_ATGATA","lib_J_tag_ATGCAG","lib_J_tag_ATGTGC","lib_J_tag_CACGAT","lib_J_tag_CGACGC","lib_J_tag_CTCGCA","lib_J_tag_CTGCGT","lib_J_tag_GATGAC","lib_J_tag_GCAGTG","lib_J_tag_GCGAGT","lib_J_tag_GCGCTC","lib_J_tag_GCGTAG","lib_J_tag_GCTACA","lib_J_tag_GTCTCT","lib_J_tag_TACGTG","lib_J_tag_TAGATC","lib_J_tag_TCGCAT","lib_J_tag_TCGTCA","lib_J_tag_TCTGCG","lib_J_tag_TGTATG","lib_K_tag_ACACAC","lib_K_tag_ACAGCA","lib_K_tag_ACATGT","lib_K_tag_ACGACG","lib_K_tag_ACTAGC","lib_K_tag_ACTCTG","lib_K_tag_ACTGAT","lib_K_tag_AGAGAG","lib_K_tag_ATATCG","lib_K_tag_ATCAGT","lib_K_tag_ATGATA","lib_K_tag_ATGCAG","lib_K_tag_ATGTGC","lib_K_tag_CACGAT","lib_K_tag_CGACGC","lib_K_tag_CTCGCA","lib_K_tag_CTGCGT","lib_K_tag_GATGAC","lib_K_tag_GCAGTG","lib_K_tag_GCGAGT","lib_K_tag_GCGCTC","lib_K_tag_GCGTAG","lib_K_tag_GCTACA","lib_K_tag_GTCTCT","lib_K_tag_TACGTG","lib_K_tag_TAGATC","lib_K_tag_TCGCAT","lib_K_tag_TCGTCA","lib_K_tag_TCTGCG","lib_K_tag_TGTATG"
"DUP_1",56653,66259,199,245852,113024,7267,171785,104345,183342,321489,88975,200806,124334,185171,37942,96,253683,151,168024,136083,54249,113,151562,109968,176,121,89381,27721,175,341464,129969,163182,119019,99735,199622,200927,165644,640,5,5,20,200414,51609,36,8,268942,67146,88060,53225,97594,105488,63026,8,43,254682,166145,149947,18,197787,104851,50647,18,134173,165112,20,78654,38487,205756,19,120704,315108,707,162618,233396,102848,103218,169439,140956,228819,18365,106590,148924,85423,95017,204892,16,87573,98572,71147,18,100447,42355,30098,2582,71029,4,154615,131173,16174,54297,104406,4,1,126451,77364,90358,76164,14318,2,531,85268,73885,27431,56544,172455,4165,42012,45062,17,158329,48819,49417,156650,72678,122673,149763,419,220,110228,189380,185122,84831,45667,194744,87168,182456,548,120607,1255,306,53773,1992,94800,285,4894,37597,201,860,58927,57660,157307,3695,155400,108832,76738,222601,159825,6804,66334,29922,98997,105887,53059,81028,43501,12,4,173672,227724,24991,4815,139146,98863,34875,2,179290,3428,57386,99090,227221,14131,47153,44421,97957,1987,82436,127339,50963,48708,19502,146706,2131,22,56,24858,3098,50197,126163,96352,3,40500,26811,26,13,126243,75136,16329,16,107208,97206,85286,6819,261576,47,155059,289505,212770,68,201574,88899,111300,111642,106184,94482,29,105495,84948,2609,109177,67367,151865,111646,200451,4833,83656,145958,31,72119,172020,105530,86617,104629,612,64694,180526,2018,117199,146550,159082,127648,99851,65389,60766,117553,183414,261789,1,6,253980,2,31099,2897,90250,3,10,32992,576,2,146326,125949,17253,59162,8,187517,70347,54480,39478,6,10,8188,41335,90992,209177,229725,7,238560,53626,185979,89337,154588,44830,19799,9,334830,137674,8,146401,77403,135531,256584
"DUP_2",100,61,233,14074,39077,34790,78952,35934,293,10623,76,128,42,119,41301,22,9,33,38,99652,12464,14,63548,114,59,107,74324,156707,79,8509,19,43153,6341,132041,360,3773,287,458,0,20,17,6187,163676,0,6,194,135,47115,48074,21743,38109,84974,0,1,879,2,132073,2,279993,52707,39216,3,183455,65056,4,28361,1500,39415,14,124425,226,521,119742,350,9,4464,1517,90464,111805,127980,101,4338,6,427,4,12,4765,99529,1891,1,18358,47,3,128099,2,179402,4389,15069,82751,5,503,0,2,46185,0,64,38428,90536,0,12,6623,9,5701,4,66,36243,2,32022,731,3725,30445,11,11288,4866,52692,25022,197,94,1822,13896,12519,5,1374,21352,23177,21512,8,104,12,229,27,8546,43877,4,23524,31396,193,350,1,28,29378,14406,3104,17,27536,6091,7,60267,6,167106,121800,74020,3,0,143369,1,4,238658,109268,94469,27585,65439,112,896,1,9,164090,20360,7,141,79730,34344,24620,378,99806,22695,17,12,14666,68781,72888,7890,2,2,83764,17264,4,52,450,20,237,6036,4,0,74629,66256,664,6,75750,3,51058,62665,350095,62,3282,15976,191,12,1393,51418,650,111,24585,28548,23,2,142,48,7046,16,5900,6,11821,18586,1896,128571,19,21,1369,147,66526,36654,408,46254,52934,15,151380,781,91438,29221,2745,2,43965,56911,14229,205,104567,4,124051,3,1276,155886,18189,0,0,188655,402,0,41513,5486,116288,76,12,40825,132,49301,347679,1,1,67017,129946,6796,25856,362,6,44771,187661,10,47570,1196,11024,72094,1,179,8659,6,35611,4,137,32
"DUP_3",1,3,0,25717,17625,24,27739,16080,6285,33254,33,8,36658,627,28046,84,38,421503,11,51146,16,6,13202,180,85,96,25,8,45,31490,2,24474,54779,4145,6921,10927,3,11211,51,437898,2,24,21303,1,0,9291,87710,1,42437,49527,67551,2784,357478,4,8,3,22213,23,0,0,2,3,2,13581,3,88,36728,42032,4,9551,21,11639,23993,7237,2,49469,0,55521,2,39,184,26,59831,41454,0,335472,39680,7583,164805,456210,19795,0,0,42233,14583,0,15723,27690,3,3,2,0,169052,10541,0,0,12064,0,2,14541,1,1,3,2,1,1,27714,0,0,14707,0,1,0,14672,11103,30133,311787,292212,5736,88,9,23965,103964,41485,2069,40527,1,1159,23578,101,33088,1,15424,1,29,31347,271338,21794,111926,75,31439,3,6393,2,12014,21,46258,13,3,2,3245,40074,3,0,15960,1,0,0,0,4,0,21793,2,39542,5,0,48401,71,2,8614,13,2,3,3,31459,13172,31,92078,61,4,6,8,182486,246226,9103,6,32806,7,4,5,15717,2,2,205003,16051,5770,15263,0,14880,28766,12,1,1,18,6819,32148,9279,412022,17,2,45301,222,52398,106,3,195132,5,37,22475,13,19,2,22405,4,200835,10980,18,2,1,13,1,15411,8775,1,29007,48828,3820,61047,60817,66190,222701,0,1,2,20698,7800,3,0,2,393694,27769,48905,48430,3,0,4,8425,0,22390,59210,0,80284,0,3933,94755,44717,7,22,375165,0,4,19885,46599,7051,1,4801,21045,6,2,1,2,0,304233,3,30297,1,3326,144809,3,1
"DUP_4",3,0,60,0,0,75,0,0,190,45,14394,0,91,178,11418,0,0,4,0,26,182323,76,1,0,0,6,0,15,0,0,16,195,0,2815,0,6,667,0,0,1,0,0,240,1,0,0,0,125189,11836,0,2419,2222,1,0,0,1,0,15,0,140322,2285,0,0,0,0,396603,2,0,0,0,0,0,0,2,0,0,0,3,1439,151202,0,0,3,0,0,14,0,9,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,3,0,296,0,100948,0,1,0,0,88750,0,0,1435,0,1,0,0,1260,0,0,0,0,0,0,0,0,17,29,70,0,77,29,0,0,2,1,0,442,0,0,0,0,8147,0,4,0,9166,0,0,0,0,0,3,106,2334,0,3,2903,0,0,11229,304,0,0,1,1509,1040,1,0,355,0,0,1,0,318046,0,0,1,0,67256,0,0,111,0,0,211016,788,1120,0,0,12,169,0,1,9,0,2,2,82671,8,0,0,1,0,61,0,59,2115,2319,0,0,0,1,0,1,0,128192,2,0,0,461559,0,0,0,38,2,1,13,0,41,0,0,0,0,10779,0,0,0,0,0,2634,241,7,4674,0,1,0,0,0,2350,2146,0,0,0,4,1835,0,0,0,0,0,0,212525,0,1,82,0,137858,0,0,0,0,12969,0,0,0,2096,1333,0,0,7,0,0,443,4,1697,2,158991,769,0,0,0,2,0,4,394,1
"DUP_7",0,2,2,21834,13945,11,24,12556,50316,21,43,18,24251,47,0,52,9,6,9,11078,47,2,14,51,0,53,226,144,0,22,1,8,169659,1,53236,55892,2,47390,0,0,0,27896,49,5,0,1,60688,0,0,58552,46342,1,2,6,5,1,1,4,0,2,1,1,7,0,0,1,151643,21217,1,55447,0,47742,0,56540,2,156387,0,12521,187,0,32,19462,14357,147093,1,1,121314,45282,61,11,9604,5,1,1,0,1,0,11878,68,6,0,0,0,0,0,0,1,0,0,0,0,0,1,4,0,0,6601,60,4,0,0,1,0,16135,51,15082,2,32,31958,1,38,16154,126,17682,5391,17320,0,22,3,29,7622,7874,2,5,0,11,0,1,16607,0,15532,14207,44098,20,9491,31720,32185,3,2,127,3,8969,3,0,32,1,0,0,183,260,3,0,0,173943,0,2,2,0,18,0,56,67,3,2,5,8,9,13999,2,190,143,7240,5,2,24,4,7540,0,0,0,50815,0,2,31,0,33198,57692,1,2,19852,3,4,4,2,43107,27947,8,6,5,1,154921,25,61387,2,0,28710,14,0,24335,1,18967,0,18934,18223,59,64342,8,2,0,20,150,12395,37751,0,6,0,2,207752,14519,77554,72,3,0,1,16748,2,1,0,198,1,103952,1,57168,0,0,0,34653,1,0,191862,0,57683,2,11589,68137,4,2,2,2,0,435,21446,19346,55997,0,13902,53,0,0,0,3,172,1,2,35007,0,8910,21509,0,1
"DUP_8",0,0,14,0,0,15,0,6,0,0,0,102,0,0,0,0,0,0,2,9,0,0,0,0,0,0,8,1,0,0,0,0,4,0,0,1,0,455588,0,0,0,4,0,0,0,0,0,0,2,1,0,0,0,0,0,0,3,2,0,0,0,0,28,0,0,40,0,2,0,0,0,489089,0,0,0,0,0,0,0,2,0,0,0,0,0,0,36,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,154937,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,268600,2,0,0,0,0,0,0,2,246995,1,0,0,0,4,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,6,2,0,0,0,0,0,0,3,7,0,0,0,0,2,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,16,16,0,0,0,0,0,0,2,26,0,0,0,0,5,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,57,0,0,0,0,0,0,1,0,0,0,0,0,399043,0,0,472544,0,14,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,388465,1,0,0,0,0,1,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,4,1,0,0,0,0,0,0,3,4,0,0
"DUP_9",294,312,9,15,16710,1897,112267,15484,380,1772,22,28349,28578,36281,8371,3,17,26,32714,66075,113,3,2639,12135,112,83,15114,13884,54,1822,7,15442,0,9198,365,2,14582,280,1,2,3,2284,4448,0,0,7501,6903,3468,11191,3505,7350,5932,3,10,25952,1,90685,0,10628,4030,1681,1,7475,2789,5,18143,1818,127643,7,77690,44773,297,96458,437,20823,0,1,67411,7298,3114,21388,1596,26025,221,39798,0,0,62022,51740,0,62365,4765,5493,0,96408,0,829,606,7812,9521,11723,1,0,2150,0,7371,49982,2312,1,759,4778,7094,56,9373,22686,16135,13007,7265,1,847,379,227,9019,1,2219,92584,257,40,3,11041,10777,19357,33632,970,10909,749,0,23952,1224,149,16370,1,60730,29,1257,8035,35,1059,0,3,97127,0,0,17843,11480,2480,36266,27038,11603,15318,10182,52475,9445,1,3790,1,1,9347,6932,1168,1290,89816,8573,1546,2,2,1,13369,16550,6706,7128,7655,1745,10145,11,8299,12863,10,10975,954,5032,10,5,2,2171,843,15268,11648,9931,0,100,65,7,2,73037,47104,751,5,63551,21859,688,27570,14562,2,42,0,6515,3,4,3637,261,23277,3846,21126,3,3,9464,2,2,324,1675,16,3,6,60900,92028,7,6,2,11850,14456,15366,256,1994,18332,2804,11917,408,77179,4883,73545,11536,2006,934,0,7561,1,0,8202,0,1430,3,3208,0,1,5500,238,0,14234,1,3076,5803,0,22472,7257,11689,2,1,0,32200,2113,2,921,433,1,28050,4620,37008,623,0,93,1006,1,45433,3,3,18082,0,11059,24385
"DUP_10",9010,9000,2,1966,572,100,40,448,8024,11506,37,85020,33034,40270,16423,0,31,58,50274,76,8,10,10939,63023,15,2,3663,1,6,9645,24364,3313,0,2682,9718,6,104431,0,0,3,0,7917,1619,1,0,12763,28,3098,18620,7566,1066,2011,3,18,25392,23958,118,0,21,3446,1261,0,0,10503,0,2438,5059,463,0,1633,120411,1,109,9055,36258,1,21,57,6905,2438,29489,5339,16584,3,54475,2,0,901,3,1,236,25993,26,627,512,46590,4610,434,0,30929,13252,0,0,7638,0,52746,2,1660,1,277,0,23948,1,30108,55512,15066,9037,1489,144750,4250,2573,7300,0,26830,8701,272,2,3,13,19,0,22075,78,801,5107,668,14,28377,584,5,11509,13,22,126,71,13664,12,420,4,32,335,19,0,58310,461,8095,39553,25466,117,1,3204,73,106,0,1552,1,4,2,7009,0,76,2,62429,3677,2,0,996,1762,56536,11722,1,1588,1682,10959,619,1839,33235,6,1396,1,5920,11,0,1,877,50,10162,31049,11216,0,1,2,12,6,54,672,2438,2,79,21742,4107,26114,0,6,1,2266,13411,3,1,3776,6,33307,8521,2487,1,32,58627,95241,37180,10955,6980,18405,1548,33,24,1417,4,0,78,61440,3213,542,0,1311,4049,1121,4197,0,123,10774,1,124,1294,4263,1992,11893,160788,0,8115,0,4510,799,6584,0,1,4049,0,0,2654,0,2556,6,0,9141,18,20963,2410,0,0,28566,2,34937,720,9096,0,9987,1855,54523,3390,0,0,1,2,121532,46434,1,8151,0,83119,62991
"DUP_11",0,4,0,59,8,2,197,2,395,73745,18,14189,19431,11454,2,2,19,5,20997,50,31,13,76310,50698,9,0,5529,0,2,67571,0,0,9742,1297,412,5,33166,1,0,0,1,55413,1,0,0,35,6,5,0,2332,4,1075,1,2,90006,0,2,0,2,2,0,0,0,78870,1,1,1,48,0,0,21914,1,0,395,14137,7153,0,56,0,260,7650,42139,6512,37304,23688,0,7196,0,1,2,21,20549,0,13721,0,0,34685,105,0,3433,41305,0,0,59808,0,16600,106,150,1,0,0,4502,1,3422,10021,1,3290,2285,0,30548,1,0,0,133434,62378,20,2,0,2,169,11,12098,50,196,0,145,5,7981,79,0,4123,0,269,100,1,0,5,0,1,154,22,0,0,6716,0,58517,22287,0,0,0,1699,60,0,1,0,1,1,0,3,0,0,161,19840,0,0,0,19189,0,7034,44,0,2488,0,39043,11520,11,6232,2,0,0,2,2,0,6,0,0,4052,5687,37946,0,15642,1,4,2,4,0,1,0,1,12231,0,6,0,11,1,16,59,0,0,4,41686,8446,2632,27,0,6,44836,1,213971,0,48822,3,20,2,15,0,4,0,1,45638,4904,0,0,1,0,1,2133,54754,74,3010,2,1,0,0,8,27,0,0,0,0,0,17312,2203,0,0,424,0,0,0,9390,248,2,0,5,7,2,1,1,0,1,1,171277,182,389,0,0,1,24351,3,0,2,0,1,23303,257886,0,0,0,26154,10953
"DUP_12",0,12,0,0,0,335923,0,0,0,0,0,107,0,0,0,148,3,113,0,0,10,0,1,193,0,0,1,0,0,0,0,13,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,8,1,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2773,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6497,0,0,0,0,0,1,0,0,0,0,2,0,0,5944,0,0,1371,0,1,0,0,3,0,0,0,744,0,0,0,0,0,1,0,0,0,0,0,30,0,0,1781,149937,0,56,265764,0,0,0,0,0,0,269460,0,11183,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,210398,2,0,1,5,0,0,0,11518,1,0,42,0,0,0,3,0,0,0,1,0,128894,0,0,0,164839,1508,9,0,0,32,14,2,4,15,0,0,0,0,0,0,25,0,0,0,33,0,0,0,2,0,0,0,0,0,0,0,291018,0,0,19,1,0,377817,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,7,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,5,0,0,7,2,0,3,7,0,0,0,0,0
